date,top10_Liquid,top10_Market
2017-02-20,"['BTC', 'ETH', 'XMR', 'DASH', 'LTC', 'XRP', 'ETC', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-21,"['BTC', 'ETH', 'XMR', 'LTC', 'DASH', 'MAID', 'ETC', 'ZEC', 'XRP', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-22,"['BTC', 'ETH', 'LTC', 'DASH', 'XMR', 'ZEC', 'ETC', 'MAID', 'XRP', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-23,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'ZEC', 'ETC', 'XRP', 'MAID', 'STEEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-24,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ETC', 'XRP', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-25,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'ETC', 'XRP', 'ZEC', 'MAID', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-26,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'ETC', 'ZEC', 'MAID', 'XRP', 'XLM']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-27,"['BTC', 'ETH', 'DASH', 'LTC', 'ZEC', 'XMR', 'ETC', 'XRP', 'MAID', 'MLN']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-28,"['BTC', 'ETH', 'DASH', 'XMR', 'LTC', 'ZEC', 'XRP', 'ETC', 'MLN', 'MAID']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
2017-03-01,"['BTC', 'ETH', 'DASH', 'XMR', 'ETC', 'LTC', 'ZEC', 'XRP', 'MLN', 'MAID']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'MAID', 'XEM', 'REP']"
