Date,BITW100
Mon Jul 03 2017 00:00:00 GMT+0000,5107.01
Tue Jul 04 2017 00:00:00 GMT+0000,5178.25
Wed Jul 05 2017 00:00:00 GMT+0000,5215.93
Thu Jul 06 2017 00:00:00 GMT+0000,5194.54
Fri Jul 07 2017 00:00:00 GMT+0000,5185.12
Sat Jul 08 2017 00:00:00 GMT+0000,4827.14
Sun Jul 09 2017 00:00:00 GMT+0000,4946.13
Mon Jul 10 2017 00:00:00 GMT+0000,4796.86
Tue Jul 11 2017 00:00:00 GMT+0000,4287.24
Wed Jul 12 2017 00:00:00 GMT+0000,4098.11
Thu Jul 13 2017 00:00:00 GMT+0000,4508.33
Fri Jul 14 2017 00:00:00 GMT+0000,4293.07
Sat Jul 15 2017 00:00:00 GMT+0000,4048.94
Sun Jul 16 2017 00:00:00 GMT+0000,3568.74
Mon Jul 17 2017 00:00:00 GMT+0000,3405.29
Tue Jul 18 2017 00:00:00 GMT+0000,4008.82
Wed Jul 19 2017 00:00:00 GMT+0000,4333.06
Thu Jul 20 2017 00:00:00 GMT+0000,4046.26
Fri Jul 21 2017 00:00:00 GMT+0000,4793.59
Sat Jul 22 2017 00:00:00 GMT+0000,4593.87
Sun Jul 23 2017 00:00:00 GMT+0000,4885.42
Mon Jul 24 2017 00:00:00 GMT+0000,4771.16
Tue Jul 25 2017 00:00:00 GMT+0000,4786.4
Wed Jul 26 2017 00:00:00 GMT+0000,4421.04
Thu Jul 27 2017 00:00:00 GMT+0000,4379.32
Fri Jul 28 2017 00:00:00 GMT+0000,4495.52
Sat Jul 29 2017 00:00:00 GMT+0000,4489.87
Sun Jul 30 2017 00:00:00 GMT+0000,4512.57
Mon Jul 31 2017 00:00:00 GMT+0000,4450.44
Tue Aug 01 2017 00:00:00 GMT+0000,4601.02
Wed Aug 02 2017 00:00:00 GMT+0000,4668.7
Thu Aug 03 2017 00:00:00 GMT+0000,4630.11
Fri Aug 04 2017 00:00:00 GMT+0000,4788.74
Sat Aug 05 2017 00:00:00 GMT+0000,4869.36
Sun Aug 06 2017 00:00:00 GMT+0000,5436.56
Mon Aug 07 2017 00:00:00 GMT+0000,5399.77
Tue Aug 08 2017 00:00:00 GMT+0000,5631.8
Wed Aug 09 2017 00:00:00 GMT+0000,5869.64
Thu Aug 10 2017 00:00:00 GMT+0000,5780.88
Fri Aug 11 2017 00:00:00 GMT+0000,5886.82
Sat Aug 12 2017 00:00:00 GMT+0000,6212.05
Sun Aug 13 2017 00:00:00 GMT+0000,6399.11
Mon Aug 14 2017 00:00:00 GMT+0000,6507.37
Tue Aug 15 2017 00:00:00 GMT+0000,6735.65
Wed Aug 16 2017 00:00:00 GMT+0000,6541.27
Thu Aug 17 2017 00:00:00 GMT+0000,6804.91
Fri Aug 18 2017 00:00:00 GMT+0000,6688.94
Sat Aug 19 2017 00:00:00 GMT+0000,6456.82
Sun Aug 20 2017 00:00:00 GMT+0000,6567.04
Mon Aug 21 2017 00:00:00 GMT+0000,6544.34
Tue Aug 22 2017 00:00:00 GMT+0000,6629.41
Wed Aug 23 2017 00:00:00 GMT+0000,6798.04
Thu Aug 24 2017 00:00:00 GMT+0000,6939.72
Fri Aug 25 2017 00:00:00 GMT+0000,7094.36
Sat Aug 26 2017 00:00:00 GMT+0000,7182.06
Sun Aug 27 2017 00:00:00 GMT+0000,7279.83
Mon Aug 28 2017 00:00:00 GMT+0000,7391
Tue Aug 29 2017 00:00:00 GMT+0000,7453.03
Wed Aug 30 2017 00:00:00 GMT+0000,7659.15
Thu Aug 31 2017 00:00:00 GMT+0000,7744.76
Fri Sep 01 2017 00:00:00 GMT+0000,8042.39
Sat Sep 02 2017 00:00:00 GMT+0000,8331.16
Sun Sep 03 2017 00:00:00 GMT+0000,7665.45
Mon Sep 04 2017 00:00:00 GMT+0000,7676.05
Tue Sep 05 2017 00:00:00 GMT+0000,6757.32
Wed Sep 06 2017 00:00:00 GMT+0000,7091.83
Thu Sep 07 2017 00:00:00 GMT+0000,7557.33
Fri Sep 08 2017 00:00:00 GMT+0000,7610.08
Sat Sep 09 2017 00:00:00 GMT+0000,6899.87
Sun Sep 10 2017 00:00:00 GMT+0000,6830.78
Mon Sep 11 2017 00:00:00 GMT+0000,6672.2
Tue Sep 12 2017 00:00:00 GMT+0000,6767.02
